
Predictions were generated on 18-Feb-2025 at 21:38:06 using FAST.Farm, compiled as a 64-bit application using single precision
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm              input       - file, using two turbines separated by 3D downstream and an offset of 30m, turbulent inflow, yaw maneuver for WT1

Time                	RtVAmbT1            	YawErrT1            	RtSkewT1            	AziSkewT1           	RtSkewFiltT1        	AziSkewFiltT1       	RtGamCurlT1         	RtVAmbFiltT1        	RtCtAvgT1           	WkAxsXT1D1          	WkAxsYT1D1          	WkAxsZT1D1          	WkPosXT1D1          	WkPosYT1D1          	WkPosZT1D1          
(s)                 	(m/s)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	INVALID      	(m/s)        	(-)          	(-)          	(-)          	(-)          	(m)          	(m)          	(m)          
    0.0000	 6.723E+00	-3.001E+01	 3.079E+01	-1.231E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 8.302E-01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    2.7500	 6.723E+00	-3.218E+01	 3.258E+01	-8.557E+00	 3.079E+01	-1.231E+01	 0.000E+00	 6.723E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    5.5000	 6.712E+00	-3.259E+01	 3.316E+01	-1.006E+01	 3.131E+01	-1.121E+01	 0.000E+00	 6.723E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    8.2500	 6.719E+00	-3.307E+01	 3.371E+01	-1.051E+01	 3.185E+01	-1.087E+01	 0.000E+00	 6.720E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   11.0000	 6.733E+00	-3.104E+01	 3.157E+01	-9.935E+00	 3.239E+01	-1.077E+01	 0.000E+00	 6.720E+00	 0.000E+00	 8.594E-01	 4.981E-01	-1.157E-01	 8.106E+01	-9.258E+00	 9.142E+01
   13.7500	 6.713E+00	-3.086E+01	 3.157E+01	-1.151E+01	 3.215E+01	-1.052E+01	 0.000E+00	 6.723E+00	 0.000E+00	 8.594E-01	 4.981E-01	-1.157E-01	 8.673E+01	-1.854E+01	 9.357E+01
   16.5000	 6.742E+00	-2.878E+01	 2.966E+01	-1.336E+01	 3.198E+01	-1.081E+01	 0.000E+00	 6.720E+00	 0.000E+00	 8.594E-01	 4.981E-01	-1.157E-01	 8.874E+01	-2.183E+01	 9.434E+01
   19.2500	 6.720E+00	-2.845E+01	 2.930E+01	-1.325E+01	 3.130E+01	-1.156E+01	 0.000E+00	 6.727E+00	 0.000E+00	 8.595E-01	 4.980E-01	-1.147E-01	 8.906E+01	-2.250E+01	 9.445E+01
   22.0000	 6.747E+00	-2.994E+01	 3.093E+01	-1.381E+01	 3.072E+01	-1.205E+01	 0.000E+00	 6.725E+00	 0.000E+00	 8.598E-01	 4.978E-01	-1.137E-01	 8.943E+01	-2.310E+01	 9.458E+01
   24.7500	 6.715E+00	-2.978E+01	 3.052E+01	-1.201E+01	 3.078E+01	-1.256E+01	 0.000E+00	 6.731E+00	 0.000E+00	 8.601E-01	 4.973E-01	-1.138E-01	 8.970E+01	-2.311E+01	 9.470E+01
   27.5000	 6.772E+00	-3.018E+01	 3.086E+01	-1.144E+01	 3.070E+01	-1.240E+01	 0.000E+00	 6.727E+00	 0.000E+00	 8.606E-01	 4.964E-01	-1.141E-01	 8.983E+01	-2.275E+01	 9.473E+01
